ParticipantId,Phase,SubjectSelfRace,SubjectSelfGender,SubjectRace,SubjectGender,OpponentRace,OpponentGender,SubjectRoundScore,OpponentRoundScore,SubjectTotalScore,OpponentTotalScore,CooperationPercentage
1140237,1,White,Male,White,Male,White,Female,22,16,22,16,0.5
1140237,2,White,Male,White,Male,White,Female,12,18,34,34,0.5
1140237,3,White,Male,White,Male,White,Female,12,18,51,51,0.5
1140237,4,White,Male,White,Male,White,Female,7,13,63,63,0.3
1140237,5,White,Male,White,Male,White,Female,8,8,76,70,0.2
1317449,1,Arab,Male,Arab,Female,White,Male,9,3,9,3,0.1
1317449,2,Arab,Male,Arab,Female,White,Male,11,11,20,14,0.3
1317449,3,Arab,Male,Arab,Female,White,Male,4,4,24,18,0.1
1317449,4,Arab,Male,Arab,Female,White,Male,25,25,49,43,0.9
1317449,5,Arab,Male,Arab,Female,White,Male,12,6,60,54,0.2
1340414,1,Asian,Female,White,Female,Black,Male,27,27,27,27,1.0
1340414,2,Asian,Female,White,Female,Black,Male,27,27,57,57,1.0
1340414,3,Asian,Female,White,Female,Black,Male,15,15,75,75,0.4
1340414,4,Asian,Female,White,Female,Black,Male,17,23,97,97,0.8
1340414,5,Asian,Female,White,Female,Black,Male,27,27,127,127,1.0
1420409,1,Arab,Male,Black,Male,Arab,Male,17,11,17,11,0.3
1420409,2,Arab,Male,Black,Male,Arab,Male,8,8,25,19,0.2
1420409,3,Arab,Male,Black,Male,Arab,Male,10,10,35,29,0.4
1420409,4,Arab,Male,Black,Male,Arab,Male,5,-1,39,33,0.0
1420409,5,Arab,Male,Black,Male,Arab,Male,0,0,39,33,0.0
1435405,1,Asian,Male,Asian,Female,White,Female,27,21,27,21,0.7
1435405,2,Asian,Male,Asian,Female,White,Female,13,13,40,34,0.5
1435405,3,Asian,Male,Asian,Female,White,Female,29,23,68,62,0.8
1435405,4,Asian,Male,Asian,Female,White,Female,22,22,90,84,0.7
1435405,5,Asian,Male,Asian,Female,White,Female,0,0,90,84,0.0
1501251,1,Asian,Female,Arab,Female,Arab,Female,14,14,14,14,0.5
1501251,2,Asian,Female,Arab,Female,Arab,Female,27,27,44,44,1.0
1501251,3,Asian,Female,Arab,Female,Arab,Female,18,18,65,65,0.5
1501251,4,Asian,Female,Arab,Female,Arab,Female,17,23,87,87,0.7
1501251,5,Asian,Female,Arab,Female,Arab,Female,19,19,109,109,0.5
1516398,1,Arab,Male,White,Male,White,Female,16,10,16,10,0.4
1516398,2,Arab,Male,White,Male,White,Female,12,12,27,27,0.3
1516398,3,Arab,Male,White,Male,White,Female,14,20,46,46,0.5
1516398,4,Arab,Male,White,Male,White,Female,16,16,67,61,0.4
1516398,5,Arab,Male,White,Male,White,Female,11,17,78,78,0.4
1541016,1,Arab,Female,Black,Male,Arab,Male,25,25,25,25,0.9
1541016,2,Arab,Female,Black,Male,Arab,Male,22,22,50,50,0.8
1541016,3,Arab,Female,Black,Male,Arab,Male,25,25,78,78,0.9
1541016,4,Arab,Female,Black,Male,Arab,Male,25,25,106,106,0.9
1541016,5,Arab,Female,Black,Male,Arab,Male,25,25,134,134,0.8
